z1,z2,hexcol,celltype,celltypeID,cellclass
-0.3433492,0.7060624,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.480427,1.041301,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3512011,0.8370053,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3104657,0.7006606,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3264701,0.722982,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2845187,0.745272,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2614472,0.7789494,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3111365,0.6923276,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3285919,0.6993598,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2549556,0.8097042,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3388423,0.6678519,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.299543,0.7158781,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3129349,0.7686092,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3212233,0.6792006,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2794583,0.7454196,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2696009,0.9099188,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3117498,0.602928,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.4370054,0.9813396,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3159523,0.7559158,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2362227,0.8435291,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2924427,0.7993199,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3522508,0.6705151,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3649102,0.4777831,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.4274985,0.9338661,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2785851,0.61272,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.02815998,0.5784618,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3080972,0.7237557,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.4437246,0.4491898,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.315596,0.7480943,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.241177,0.804496,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2750379,0.7484177,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3288064,0.7043971,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3392473,1.173977,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3314006,0.6442285,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.306248,0.711927,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3354583,0.7126522,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3278994,0.7010502,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2272119,0.7963158,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2867018,0.7989346,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3044584,0.7154198,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.340405,0.6731244,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2312847,0.8227665,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.263376,0.7818131,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3286891,0.7376738,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3718964,0.9720496,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2378528,0.7979787,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.285791,0.7834933,#ADE6A6,ALM L2/3 IT Macc1,55,0
